system:time_start,probability
"Dec 16, 2019",40.464
"Dec 21, 2019",97.886
"Dec 26, 2019",73.072
"Dec 31, 2019",88.579
"Jan 5, 2020",57.901
"Jan 10, 2020",20.438
"Jan 15, 2020",85.165
"Jan 20, 2020",97.024
"Jan 25, 2020",39.948
"Jan 30, 2020",45.188
"Feb 4, 2020",86.062
"Feb 9, 2020",71.246
"Feb 14, 2020",89.808
"Feb 19, 2020",61.805
"Feb 24, 2020",39.518
"Feb 29, 2020",51.374
"Mar 5, 2020",35.899
"Mar 10, 2020",21.855
"Mar 15, 2020",99.769
"Mar 20, 2020",69.779
"Mar 25, 2020",4.729
"Mar 30, 2020",91.942
"Apr 4, 2020",93.92
"Apr 9, 2020",30.091
"Apr 9, 2020",
"Apr 14, 2020",2.258
"Apr 19, 2020",30.905
"Apr 24, 2020",33.198
"Apr 29, 2020",3.473
"May 4, 2020",100
"May 9, 2020",6.894
"May 14, 2020",2.681
"May 19, 2020",21.095
"May 24, 2020",9.966
"May 29, 2020",1.301
"Jun 3, 2020",98.98
"Jun 8, 2020",3.568
"Jun 13, 2020",1.404
"Jun 18, 2020",1.08
"Jun 23, 2020",2.216
"Jun 28, 2020",2.033
"Jul 3, 2020",1.49
"Jul 8, 2020",1.784
"Jul 13, 2020",52.896
"Jul 18, 2020",1.615
"Jul 23, 2020",17.543
"Jul 28, 2020",1.05
"Aug 2, 2020",1.24
"Aug 7, 2020",0.954
"Aug 12, 2020",79.911
"Aug 17, 2020",6.411
"Aug 22, 2020",42.03
"Aug 27, 2020",16.65
"Sep 1, 2020",13.501
"Sep 6, 2020",16.601
"Sep 11, 2020",11.677
"Sep 16, 2020",86.568
"Sep 16, 2020",67.853
"Sep 21, 2020",40.39
"Sep 26, 2020",3.603
"Oct 1, 2020",87.56
"Oct 6, 2020",3.338
"Oct 11, 2020",56.916
"Oct 16, 2020",68.617
"Oct 21, 2020",56.773
"Oct 26, 2020",3.949
"Oct 31, 2020",52.585
"Nov 5, 2020",2.732
"Nov 10, 2020",92.595
"Nov 15, 2020",3.287
"Nov 20, 2020",77.305
"Nov 25, 2020",6.97
"Dec 5, 2020",66.064
"Dec 5, 2020",
"Dec 15, 2020",10.307
"Dec 20, 2020",100
"Dec 25, 2020",99.997
"Dec 30, 2020",51.639
"Jan 4, 2021",67.48
"Jan 4, 2021",
"Jan 9, 2021",72.135
"Jan 14, 2021",99.298
"Jan 19, 2021",65.479
"Jan 24, 2021",38.241
"Jan 29, 2021",9.61
"Feb 3, 2021",100
"Feb 8, 2021",94.409
"Feb 13, 2021",48.053
"Feb 18, 2021",100
"Feb 23, 2021",65.46
"Mar 5, 2021",93.528
"Mar 10, 2021",5.426
"Mar 15, 2021",77.408
"Mar 20, 2021",92.044
"Mar 25, 2021",32.368
"Mar 30, 2021",58.746
"Apr 4, 2021",99.045
"Apr 9, 2021",100
"Apr 19, 2021",1.163
"Apr 24, 2021",42.327
"Apr 29, 2021",10.117
"May 4, 2021",20.547
"May 9, 2021",1.276
"May 14, 2021",15.682
"May 19, 2021",3.638
"May 24, 2021",93.033
"May 29, 2021",2.012
"Jun 3, 2021",3.354
"Jun 8, 2021",1.224
"Jun 13, 2021",3.066
"Jun 18, 2021",5.34
"Jun 23, 2021",1.365
"Jun 28, 2021",69.677
"Jul 3, 2021",1.129
"Jul 8, 2021",2.601
"Jul 13, 2021",1.644
"Jul 18, 2021",29.471
"Jul 23, 2021",1.547
"Jul 28, 2021",2.084
"Aug 2, 2021",1.522
"Aug 7, 2021",2.376
"Aug 12, 2021",1.509
"Aug 17, 2021",2.741
"Aug 22, 2021",1.526
"Aug 27, 2021",6.507
"Sep 1, 2021",1.968
"Sep 6, 2021",42.852
"Sep 11, 2021",10.287
"Sep 16, 2021",2.587
"Sep 21, 2021",100
"Sep 26, 2021",3.565
"Oct 1, 2021",74.775
"Oct 6, 2021",84.864
"Oct 11, 2021",53.359
"Oct 16, 2021",47.143
"Oct 21, 2021",6.645
"Oct 26, 2021",31.142
"Oct 31, 2021",36.379
"Nov 5, 2021",79.473
"Nov 10, 2021",48.745
"Nov 15, 2021",60.313
"Nov 20, 2021",98.647
"Nov 25, 2021",74.753
"Nov 30, 2021",98.691
"Dec 5, 2021",99.998
"Dec 10, 2021",89.865
"Dec 10, 2021",
"Dec 15, 2021",57.178
"Dec 20, 2021",99.99
"Dec 20, 2021",
"Dec 25, 2021",96.725
"Dec 30, 2021",33.196
"Jan 4, 2022",99.979
"Jan 9, 2022",97.536
"Jan 9, 2022",
"Jan 14, 2022",92.709
"Jan 19, 2022",56.498
"Jan 24, 2022",99.998
"Jan 29, 2022",97.171
"Feb 3, 2022",7.861
"Feb 8, 2022",27.164
"Feb 13, 2022",60.425
"Feb 18, 2022",99.996
"Feb 23, 2022",100
"Feb 28, 2022",90.466
"Mar 5, 2022",96.067
"Mar 10, 2022",54.991
"Mar 15, 2022",95.908
"Mar 20, 2022",68.567
"Mar 25, 2022",19.247
"Mar 30, 2022",1.778
"Apr 4, 2022",15.315
"Apr 9, 2022",38.219
"Apr 14, 2022",1.405
"Apr 19, 2022",1.03
"Apr 24, 2022",96.617
"Apr 29, 2022",1.676
"May 4, 2022",10.533
"May 9, 2022",1.511
"May 14, 2022",53.33
"May 19, 2022",7.313
"May 24, 2022",1.58
"May 29, 2022",1.18
"Jun 8, 2022",3.06
"Jun 13, 2022",1.552
"Jun 18, 2022",1.303
"Jun 23, 2022",49.884
"Jun 28, 2022",1.621
"Jul 3, 2022",10.243
"Jul 8, 2022",96.103
"Jul 13, 2022",76.536
"Jul 18, 2022",4.848
"Jul 23, 2022",2.386
"Jul 28, 2022",0.966
"Aug 2, 2022",2.305
"Aug 7, 2022",90.714
"Aug 12, 2022",1.079
"Aug 17, 2022",1.217
"Aug 22, 2022",2.796
"Aug 27, 2022",2.172
"Sep 1, 2022",31.451
"Sep 6, 2022",1.387
"Sep 11, 2022",2.036
"Sep 16, 2022",95.106
"Sep 21, 2022",1.913
"Sep 26, 2022",48.69
"Oct 1, 2022",2.711
"Oct 6, 2022",17.095
"Oct 11, 2022",2.419
"Oct 16, 2022",37.94
"Oct 21, 2022",99.996
"Oct 26, 2022",4.891
"Oct 31, 2022",2.741
"Nov 5, 2022",38.833
"Nov 10, 2022",5.272
"Nov 15, 2022",99.49
"Nov 20, 2022",97.394
"Nov 25, 2022",3.45
"Nov 30, 2022",5.03
"Dec 5, 2022",73.671
"Dec 10, 2022",40.84
"Dec 15, 2022",100
"Dec 20, 2022",100
"Dec 25, 2022",100
"Dec 30, 2022",100
"Jan 4, 2023",98.882
"Jan 9, 2023",42.3
"Jan 14, 2023",11.63
"Jan 19, 2023",99.976
"Jan 24, 2023",68.364
"Jan 29, 2023",96.058
"Feb 3, 2023",93.201
"Feb 8, 2023",29.546
"Feb 13, 2023",47.489
"Feb 18, 2023",100
"Feb 23, 2023",60.234
"Feb 28, 2023",9.833
"Mar 5, 2023",99.762
"Mar 10, 2023",78.942
"Mar 15, 2023",44.54
"Mar 20, 2023",56.751
"Mar 25, 2023",28.433
"Mar 30, 2023",7.925
"Apr 4, 2023",71.194
"Apr 9, 2023",67.884
"Apr 14, 2023",16.327
"Apr 19, 2023",12.116
"Apr 24, 2023",5.885
"Apr 29, 2023",1.119
"May 4, 2023",31.427
"May 9, 2023",74.815
"May 14, 2023",3.115
"May 19, 2023",1.381
"May 24, 2023",1.758
"May 29, 2023",38.781
"Jun 3, 2023",1.071
"Jun 8, 2023",1.386
"Jun 13, 2023",1.131
"Jun 18, 2023",2.417
"Jun 23, 2023",2.06
"Jun 28, 2023",1.336
"Jul 3, 2023",1.149
"Jul 8, 2023",2.663
"Jul 13, 2023",1.488
"Jul 18, 2023",5.223
"Jul 23, 2023",1.261
"Jul 28, 2023",7.777
"Aug 2, 2023",5.868
"Aug 7, 2023",17.744
"Aug 12, 2023",7.523
"Aug 22, 2023",2.205
"Aug 27, 2023",1.958
"Sep 1, 2023",8.993
"Sep 6, 2023",89.523
"Sep 11, 2023",1.54
"Sep 16, 2023",19.468
"Sep 21, 2023",33.564
"Sep 26, 2023",2.94
"Oct 1, 2023",66.322
"Oct 6, 2023",3.454
"Oct 11, 2023",14.272
"Oct 16, 2023",
"Oct 16, 2023",21.096
"Oct 21, 2023",31.964
"Oct 26, 2023",32.048
"Oct 31, 2023",100
"Nov 5, 2023",68.981
"Nov 10, 2023",71.85
"Nov 15, 2023",59.454
"Nov 20, 2023",77.646
"Nov 25, 2023",99.995
"Nov 30, 2023",59.073
"Dec 5, 2023",59.644
"Dec 5, 2023",
"Dec 10, 2023",39.405
"Dec 10, 2023",
"Dec 15, 2023",87.611
"Dec 20, 2023",18.406
"Dec 25, 2023",8.269
"Dec 30, 2023",71.308
"Jan 4, 2024",100
"Jan 9, 2024",1.785
"Jan 14, 2024",41.503
"Jan 19, 2024",67.906
"Jan 24, 2024",96.939
"Jan 29, 2024",75.119
"Feb 3, 2024",71.27
"Feb 8, 2024",94.321
"Feb 18, 2024",42.416
"Feb 23, 2024",76.382
"Feb 28, 2024",82.081
"Mar 4, 2024",42.982
"Mar 9, 2024",31.752
"Mar 14, 2024",85.442
"Mar 19, 2024",99.987
"Mar 24, 2024",12.439
"Mar 29, 2024",95.375
"Apr 3, 2024",7.746
"Apr 8, 2024",40.148
"Apr 13, 2024",18.429
"Apr 18, 2024",26.048
"Apr 23, 2024",99.789
"Apr 28, 2024",14.818
"May 3, 2024",73.837
"May 8, 2024",99.993
"May 13, 2024",72.494
"May 18, 2024",1.22
"May 23, 2024",1.182
"May 28, 2024",1.616
"Jun 2, 2024",1.364
"Jun 7, 2024",1.303
"Jun 12, 2024",5.292
"Jun 17, 2024",1.174
"Jun 22, 2024",1.39
"Jun 27, 2024",1.604
"Jul 2, 2024",2.38
"Jul 7, 2024",2.3
"Jul 12, 2024",2.492
"Jul 17, 2024",1.674
"Jul 22, 2024",2.012
"Jul 27, 2024",1.965
"Aug 1, 2024",2.423
"Aug 6, 2024",99.008
"Aug 11, 2024",1.904
"Aug 16, 2024",1.312
"Aug 21, 2024",2.23
"Aug 26, 2024",11.055
"Aug 31, 2024",1.579
"Sep 5, 2024",2.367
"Sep 10, 2024",1.343
"Sep 15, 2024",45.292
"Sep 20, 2024",3.396
"Sep 25, 2024",5.784
"Sep 30, 2024",16.661
"Oct 5, 2024",31.167
