system:time_start,probability
"Dec 16, 2019",22.273
"Dec 21, 2019",99.419
"Dec 26, 2019",66.034
"Dec 31, 2019",97.351
"Jan 5, 2020",47.183
"Jan 10, 2020",14.175
"Jan 15, 2020",78.085
"Jan 20, 2020",98.493
"Jan 25, 2020",52.376
"Jan 30, 2020",34.173
"Feb 4, 2020",65.663
"Feb 9, 2020",85.08
"Feb 14, 2020",96.67
"Feb 19, 2020",63.569
"Feb 24, 2020",36.561
"Feb 29, 2020",48.621
"Mar 5, 2020",14.584
"Mar 10, 2020",3.651
"Mar 15, 2020",99.692
"Mar 20, 2020",85.709
"Mar 25, 2020",2.583
"Mar 30, 2020",96.512
"Apr 4, 2020",94.886
"Apr 9, 2020",16.662
"Apr 9, 2020",
"Apr 14, 2020",1.743
"Apr 19, 2020",32.706
"Apr 24, 2020",33.372
"Apr 29, 2020",4.216
"May 4, 2020",100
"May 9, 2020",1.739
"May 14, 2020",4.186
"May 19, 2020",9.019
"May 24, 2020",24.168
"May 29, 2020",1.026
"Jun 3, 2020",99.325
"Jun 8, 2020",5.876
"Jun 13, 2020",0.964
"Jun 18, 2020",0.799
"Jun 23, 2020",2.556
"Jun 28, 2020",2.201
"Jul 3, 2020",1.717
"Jul 8, 2020",2.619
"Jul 13, 2020",54.582
"Jul 18, 2020",1.004
"Jul 23, 2020",14.16
"Jul 28, 2020",1.903
"Aug 2, 2020",2.8
"Aug 7, 2020",1.824
"Aug 12, 2020",83.654
"Aug 17, 2020",21.061
"Aug 22, 2020",10.534
"Aug 27, 2020",42.366
"Sep 1, 2020",30.731
"Sep 6, 2020",26.126
"Sep 11, 2020",22.733
"Sep 16, 2020",89.157
"Sep 16, 2020",64.755
"Sep 21, 2020",34.703
"Sep 26, 2020",3.396
"Oct 1, 2020",83.227
"Oct 6, 2020",6.355
"Oct 11, 2020",58.901
"Oct 16, 2020",63.243
"Oct 21, 2020",78.685
"Oct 26, 2020",10.515
"Oct 31, 2020",44.828
"Nov 5, 2020",6.366
"Nov 10, 2020",90.825
"Nov 15, 2020",8.378
"Nov 20, 2020",92.263
"Nov 25, 2020",12.876
"Dec 5, 2020",54.755
"Dec 5, 2020",
"Dec 15, 2020",13.257
"Dec 20, 2020",100
"Dec 25, 2020",99.995
"Dec 30, 2020",32.685
"Jan 4, 2021",28.017
"Jan 4, 2021",
"Jan 9, 2021",58.816
"Jan 14, 2021",99.928
"Jan 19, 2021",47.236
"Jan 24, 2021",14.929
"Jan 29, 2021",18.565
"Feb 3, 2021",100
"Feb 8, 2021",91.382
"Feb 13, 2021",47.094
"Feb 18, 2021",100
"Feb 23, 2021",60.934
"Mar 5, 2021",98.344
"Mar 10, 2021",9.351
"Mar 15, 2021",92.573
"Mar 20, 2021",89.721
"Mar 25, 2021",36.602
"Mar 30, 2021",65.302
"Apr 4, 2021",98.73
"Apr 9, 2021",100
"Apr 19, 2021",0.663
"Apr 24, 2021",22.266
"Apr 29, 2021",0.782
"May 4, 2021",40.622
"May 9, 2021",0.894
"May 14, 2021",3.685
"May 19, 2021",2.783
"May 24, 2021",94.166
"May 29, 2021",1.828
"Jun 3, 2021",4.009
"Jun 8, 2021",0.699
"Jun 13, 2021",0.833
"Jun 18, 2021",13.975
