Year,0,1,2,3,4,5,6,7,8,mean,minus,plus
2015,9.418871233,9.242246027,9.491908219,10.28737836,10.16537233,10.39641178,9.249673699,9.137941644,9.36834137,9.639793851,9.315220178,9.639793851
2016,9.120624932,8.929386027,9.190618082,8.823128493,8.705910411,8.908886301,9.395387123,9.268689041,9.473597808,9.090692024,8.917725256,9.090692024
2017,9.694635068,9.560949315,9.797697534,8.378889589,8.254044658,8.488624932,9.912031781,9.78293589,10.01024356,9.320005814,8.847702361,9.320005814
2018,8.956059726,8.789872329,9.059678356,9.076908767,8.930701918,9.167521096,8.731235342,8.611317534,8.824105205,8.905266697,8.787056989,8.905266697
2019,9.309280548,9.164547123,9.429184384,9.945543014,9.811406849,10.04620712,9.444806849,9.332118082,9.548450137,9.559060457,9.359032176,9.559060457
2020,9.471946301,9.312013699,9.563846027,9.902283562,9.758592329,9.999190959,10.44140685,10.32753781,10.54450767,9.924591689,9.636309732,9.924591689
2021,9.658652877,9.487511233,9.708514521,9.523963288,9.386771507,9.588486575,9.414915342,9.315603014,9.537285479,9.513522648,9.429915413,9.513522648
2022,10.44553836,10.29280932,10.53644329,9.910391507,9.785847945,9.998969589,9.813826027,9.707701918,9.959745753,10.05014152,9.8534662,10.05014152
2023,9.920153425,9.763804932,10.00571644,9.972883288,9.801767671,10.0559411,9.653865479,9.530809863,9.756633699,9.829063988,9.715538102,9.829063988
2024,9.661939726,9.465146301,9.690394521,9.716033699,9.558688493,9.81927863,10.03524384,9.904804384,10.14616137,9.777521218,9.633187117,9.777521218
2025,10.65759699,10.49555699,10.72675534,10.36440712,10.22590192,10.44346685,10.10004466,9.943719726,10.19264192,10.35001017,10.18115564,10.35001017
2026,9.603570959,9.458595616,9.701514247,10.34785808,10.20006027,10.42619562,9.514318356,9.363945479,9.601989589,9.802005358,9.535813203,9.802005358
2027,9.984516712,9.85631589,10.04979315,10.58439342,10.49615699,10.68711315,9.574215068,9.445778904,9.685805205,10.04045428,9.743245182,10.04045428
2028,9.54754274,9.380610685,9.620500548,9.954440822,9.852134521,10.05066849,10.19258466,10.05796712,10.32544986,9.886877717,9.681563699,9.886877717
2029,10.14418466,9.977214247,10.21031041,10.19867781,10.0574589,10.31359589,9.682775342,9.556254247,9.788260548,9.992081339,9.821017992,9.992081339
2030,10.75531123,10.58931315,10.8078326,10.4458074,10.2954074,10.54035616,9.560939178,9.444218904,9.677077808,10.23514043,9.888149012,10.23514043
2031,11.16760466,10.97719397,11.22601315,10.17386932,10.04526521,10.28836521,9.715019178,9.601814795,9.826363288,10.3357232,9.923025514,10.3357232
2032,10.26420356,10.11348274,10.34071425,10.24706055,10.11558712,10.36278712,10.42350082,10.2801,10.50763205,10.29500758,10.20950736,10.29500758
2033,9.971219726,9.788518082,10.04199945,11.65944795,11.54856959,11.7934811,11.33810384,11.20766986,11.42811836,10.97523644,10.45133231,10.97523644
2034,11.22303479,11.04452658,11.27174329,10.39982137,10.26053205,10.48983534,10.29819808,10.16855808,10.40602548,10.61803056,10.33359294,10.61803056
2035,9.803463288,9.642918082,9.8661,11.0578326,10.9240211,11.12291781,10.80407096,10.69253945,10.93929781,10.53924012,10.15209315,10.53924012
2036,10.12913479,9.967403836,10.19238493,10.46420164,10.3284,10.53950247,10.60032932,10.48512411,10.71814685,10.38051422,10.22090131,10.38051422
2037,10.99556192,10.7963537,11.08677616,10.56873507,10.46832685,10.6789926,10.20482411,10.0641074,10.31182466,10.57505583,10.34670622,10.57505583
2038,10.48642685,10.35634849,10.57694356,10.24647479,10.13987425,10.33751863,10.66078932,10.53453205,10.77292767,10.45687062,10.323799,10.45687062
2039,10.79489699,10.64917534,10.86983041,10.12637836,9.974470959,10.22731041,10.90220301,10.76695123,11.00766849,10.59098725,10.34302889,10.59098725
2040,10.84168164,10.66744986,10.92239753,11.01455041,10.86845342,11.10756986,10.46857699,10.35001014,10.59419836,10.75943202,10.59295048,10.75943202
2041,10.85696164,10.6870274,10.90688274,10.35346712,10.22208055,10.46698986,11.16953205,11.03029096,11.30696548,10.77779976,10.53401855,10.77779976
2042,10.24858192,10.07101726,10.30929096,10.68514411,10.54649288,10.80072904,11.17969918,11.02877205,11.27363918,10.68259629,10.4044048,10.68259629
2043,10.41935342,10.24084932,10.47282767,11.54305863,11.40513562,11.68065123,10.16958767,10.05516603,10.26732,10.69488329,10.26928603,10.69488329
2044,11.6033126,11.42953041,11.68073945,10.6383863,10.49926027,10.71518767,10.97223041,10.85721507,11.08757644,11.0537154,10.7729609,11.0537154
2045,10.29328712,10.12159315,10.34171315,10.50784027,10.39109507,10.57958055,11.51660849,11.40337836,11.6220789,10.75301945,10.36916132,10.75301945
2046,10.87075863,10.69101699,10.92825753,11.06522685,10.93457808,11.16599205,10.79256274,10.67775836,10.90644247,10.89251041,10.78791635,10.89251041
