Year,0,1,2,3,4,5,6,7,8,mean,minus,plus
2047,12.35375726,12.20613479,12.42046904,11.67965452,11.56346,11.77503836,11.3776,11.24268164,11.46366027,11.78693954,11.50139193,11.78693954
2048,11.51828247,11.33665123,11.56849973,11.37912,11.23843644,11.45939534,11.55913233,11.43668932,11.67125534,11.46305135,11.37633789,11.46305135
2049,10.65907589,10.47082,10.69918384,11.33879644,11.21816658,11.45524274,11.27502877,11.1381811,11.36522192,11.06885747,10.83309237,11.06885747
2050,11.34964767,11.17683041,11.4047789,11.95521315,11.82910575,12.06787151,12.05835973,11.92631068,12.14795781,11.76845285,11.53302222,11.76845285
2051,11.67150493,11.47163233,11.67721068,11.48398986,11.35656658,11.56684521,11.61348027,11.48683507,11.72553479,11.56151108,11.48257518,11.56151108
2052,12.27260329,12.11254301,12.32641589,11.96395863,11.82812603,12.03587753,11.37772,11.26783123,11.47889836,11.85155266,11.59619536,11.85155266
2053,11.86581863,11.71564822,11.94699315,11.73908,11.59801781,11.80942986,11.47019452,11.32148932,11.54227973,11.66766125,11.53614367,11.66766125
2054,12.16391425,12.01217096,12.25572411,11.56902493,11.46703425,11.69994822,12.1624811,12.04452164,12.29015836,11.96277531,11.76242591,11.96277531
2055,11.3845463,11.23143753,11.43722959,11.75554082,11.62119534,11.86279945,11.49623288,11.39317151,11.60156904,11.53152472,11.40213104,11.53152472
2056,12.7583589,12.61008164,12.83353945,12.01475562,11.88365178,12.14661123,11.93571178,11.81374877,12.06339726,12.22887294,11.97075503,12.22887294
2057,11.93708247,11.75671507,11.99738795,11.3708937,11.25310904,11.46667205,11.56925397,11.44004822,11.66805479,11.6065797,11.44042008,11.6065797
2058,12.37126356,12.17602986,12.40694411,12.19966247,12.09487699,12.32333671,12.07451562,11.9158,12.16444137,12.19187452,12.08956642,12.19187452
2059,11.54741479,11.34963753,11.59684877,12.48119342,12.36929726,12.59174274,12.48046767,12.3488811,12.59746795,12.15143903,11.82383618,12.15143903
2060,11.83061014,11.63435315,11.85344055,12.24147945,12.12405041,12.35352603,11.93442603,11.78191863,12.00632438,11.97334764,11.82222374,11.97334764
2061,12.16318521,12.01103452,12.24083233,12.4667074,12.31179041,12.57337233,13.03836712,12.90680959,13.16964712,12.54241623,12.27411839,12.54241623
2062,12.73186411,12.56585397,12.80492603,12.07801616,11.90658356,12.12843808,12.16550575,12.03660986,12.28167096,12.29994094,12.0890713,12.29994094
2063,13.21587452,13.01686301,13.28579479,13.35313123,13.24877096,13.46027123,12.74597644,12.61995534,12.84138411,13.08755796,12.89539284,13.08755796
2064,12.48666795,12.32074274,12.57830356,12.05571507,11.9404337,12.14802932,11.87808,11.75417534,11.98677233,12.12765778,11.94409857,12.12765778
2065,12.86389014,12.66941288,12.91741041,12.21789123,12.10373534,12.33818164,12.71045479,12.59349699,12.8324474,12.5829912,12.38977608,12.5829912
2066,13.53495507,13.37475425,13.60312795,13.27127973,13.15074192,13.38820877,12.53175315,12.39743205,12.62155726,13.09709002,12.79786753,13.09709002
2067,12.45743863,12.28812986,12.52170658,12.75106904,12.58688685,12.81165452,12.52056192,12.41195425,12.62278603,12.5524653,12.44577097,12.5524653
2068,13.38269753,13.18544055,13.40622493,12.86490466,12.71948575,12.95622548,12.86983753,12.75186521,12.98457699,13.01347318,12.84661436,13.01347318
2069,12.89585123,12.69603068,12.94956877,12.1975537,12.06788055,12.29920301,11.90424822,11.79019068,12.03219836,12.31474725,12.0333182,12.31474725
2070,12.36703671,12.16816219,12.38422521,12.88777315,12.71442247,12.97878986,12.94311288,12.83863479,13.06899288,12.70568335,12.49641534,12.70568335
2071,13.51551918,13.36049726,13.57790575,13.75062521,13.60559973,13.8569126,13.24890877,13.12973123,13.36228329,13.48977589,13.33563966,13.48977589
2072,12.49273425,12.30505699,12.52842822,12.51988658,12.39506795,12.59691123,13.40188658,13.29753151,13.52437781,12.78465346,12.4722508,12.78465346
2073,13.32908849,13.14703205,13.34832521,13.15361726,13.04608082,13.24491808,13.26956219,13.14133014,13.3593263,13.22658673,13.15478297,13.22658673
2074,12.59343699,12.39824877,12.62192575,12.67163863,12.5584411,12.75996356,14.17409014,14.05379288,14.2869,13.12427087,12.6058757,13.12427087
2075,13.46101562,13.24834164,13.50331589,13.00007945,12.88431562,13.12624986,12.95561616,12.83771836,13.07741507,13.12156307,12.96521612,13.12156307
2076,13.44269452,13.25754822,13.49522548,13.84763151,13.70710219,13.92298411,13.77053808,13.65503863,13.86785534,13.66295756,13.51718252,13.66295756
2077,13.70389726,13.50423808,13.75192274,13.26723096,13.16165397,13.3372474,13.31722274,13.18025397,13.40170849,13.40281951,13.26413007,13.40281951
2078,13.86197151,13.68245781,13.90985507,14.36683233,14.27367123,14.51650493,14.0161074,13.88767616,14.12590932,14.07122064,13.89420068,14.07122064
2079,13.44729205,13.28477589,13.49423151,13.75624082,13.63574219,13.87644329,13.44194548,13.31788959,13.55654521,13.53456734,13.40723137,13.53456734
2080,13.57598822,13.39405452,13.6008326,13.49864904,13.37960795,13.59931452,14.4209063,14.28458137,14.54598137,13.81110177,13.50657238,13.81110177
2081,13.60975342,13.42462904,13.63625945,14.17332493,14.0684989,14.29521863,13.41420411,13.28714548,13.5219789,13.71455699,13.47406039,13.71455699
2082,14.29153205,14.07652137,14.28985808,13.44134356,13.31556192,13.5343137,14.06645808,13.94166849,14.17343068,13.90340977,13.65828247,13.90340977
2083,13.66294082,13.47144301,13.68728877,14.24988027,14.1108126,14.34814877,14.04217534,13.91784027,14.13044959,13.95788661,13.76514559,13.95788661
2084,14.43805178,14.29048575,14.50096301,13.84519753,13.72692411,13.95938466,14.33511096,14.20856301,14.43919671,14.19376417,14.00923562,14.19376417
2085,13.87484986,13.68729918,13.90734904,14.68836082,14.57972137,14.82110164,14.58101644,14.49112219,14.70494466,14.37064058,14.09292982,14.37064058
2086,14.85211945,14.65241562,14.86860301,13.90104658,13.74593041,13.96650795,14.59511397,14.47726767,14.68237151,14.41570846,14.13527985,14.41570846
2087,13.58374356,13.41618082,13.61047973,15.19386192,15.08825726,15.3099074,15.23387616,15.13921945,15.36561397,14.6601267,14.10602627,14.6601267
2088,14.96632767,14.7714011,15.0183526,14.04183397,13.92056055,14.17173699,14.02524,13.9094389,14.10589671,14.32564317,14.02722597,14.32564317
2089,14.52017534,14.34600548,14.55336493,14.14872301,14.0166663,14.24847671,14.78823562,14.64911425,14.87928603,14.46111641,14.27024964,14.46111641
2090,15.44929863,15.27630466,15.51727041,14.43447041,14.32933123,14.55819096,14.51052301,14.38552849,14.61525973,14.78624195,14.47083647,14.78624195
2091,15.02677808,14.86809068,15.08475068,14.40399973,14.29064685,14.4973411,15.02590082,14.90744575,15.14161699,14.80517452,14.59549453,14.80517452
2092,14.51083945,14.29345863,14.52579808,15.25078521,15.12600192,15.33925863,14.1079663,13.97464986,14.19638466,14.59168253,14.25302753,14.59168253
2093,15.59962521,15.41922192,15.64092849,14.39441973,14.26777288,14.48368712,15.51058137,15.40562712,15.60660247,15.14760737,14.76717378,15.14760737
2094,14.80007726,14.58630767,14.82024904,15.41026466,15.29209945,15.5502474,14.19035315,14.07536082,14.27453644,14.77772177,14.42048381,14.77772177
2095,14.86879315,14.6366526,14.84803671,15.2667211,15.13178356,15.36304575,15.48109808,15.36000137,15.59270548,15.17209309,14.96058813,15.17209309
2096,15.21986795,15.01524877,15.23577945,15.02484795,14.87702849,15.12350384,14.52755041,14.39464685,14.62989233,14.89426289,14.69273991,14.89426289
2097,14.58281534,14.38143288,14.61805425,15.25624301,15.10691863,15.33842438,15.82728795,15.69120274,15.92440164,15.19186454,14.82088163,15.19186454
2098,15.33853397,15.11572137,15.35841671,14.79121479,14.64644,14.87208466,15.37629205,15.24712,15.49069726,15.1373912,14.94207951,15.1373912
2099,15.00616959,14.79722219,15.04011233,15.3322789,15.19259397,15.43812438,15.06184712,14.9379926,15.18099068,15.10970353,14.98020113,15.10970353
2100,15.7692474,15.54948603,15.76490932,16.19583945,16.07420767,16.29131041,15.22127644,15.09832493,15.34461507,15.70102408,15.41957628,15.70102408
