,Year,0,1,2,3,4,5,6,7,8,Month,Day
0,2015,3.326617808219178,3.3322087671232876,3.3619438356164384,3.503064931506849,3.513305479452055,3.5476389041095895,3.500620821917808,3.485964931506849,3.5256975342465755,6.526027397260274,15.72054794520548
1,2016,3.442658082191781,3.4600824657534246,3.473722191780822,3.416841643835616,3.408300273972603,3.4683276712328763,3.4101813698630137,3.423781917808219,3.462187397260274,6.526027397260274,15.72054794520548
2,2017,3.433785479452055,3.440945753424657,3.482695616438356,3.3981487671232875,3.4122512328767125,3.4608767123287674,3.3638545205479455,3.3707753424657536,3.398978630136986,6.526027397260274,15.72054794520548
3,2018,3.368405205479452,3.381949863013699,3.403416164383562,3.584184109589041,3.57538,3.6256523287671234,3.360608493150685,3.3734128767123286,3.4119528767123293,6.526027397260274,15.72054794520548
4,2019,3.396130684931507,3.3921339726027395,3.4360610958904108,3.3302126027397256,3.3435572602739727,3.3892947945205476,3.3298290410958904,3.3267761643835616,3.3657427397260276,6.526027397260274,15.72054794520548
5,2020,3.3271460273972604,3.3336172602739724,3.371738082191781,3.337042191780822,3.3406750684931503,3.378489315068493,3.421865479452055,3.4394197260273973,3.478253698630137,6.526027397260274,15.72054794520548
6,2021,3.366192876712329,3.369133698630137,3.405303287671233,3.6141671232876713,3.633902191780822,3.67893205479452,3.671398082191781,3.6818813698630137,3.7332405479452055,6.526027397260274,15.72054794520548
7,2022,3.4070594520547948,3.4160238356164383,3.450152876712329,3.4414046575342465,3.441001917808219,3.4811750684931506,3.4402515068493154,3.4510676712328765,3.480401369863014,6.526027397260274,15.72054794520548
8,2023,3.4782164383561645,3.495802465753425,3.5343495890410956,3.5097282191780823,3.51911698630137,3.5460720547945206,3.4295501369863017,3.427561917808219,3.4632728767123284,6.526027397260274,15.72054794520548
9,2024,3.601740547945205,3.5936693150684933,3.6458065753424655,3.5823408219178083,3.5843621917808224,3.6187904109589044,3.595872602739726,3.6345561643835618,3.6623679452054794,6.526027397260274,15.72054794520548
